Designator,Mid X,Mid Y,Rotation,Layer
BACKSPACE1,234.0181,-189.4650550008067,30.0,top
C1,117.4428,-180.65445500080668,330.0,top
C2,126.2831,-164.2850550008067,330.0,top
C3,135.1428,-147.05445500080668,330.0,top
C4,297.9181,-146.86505500080668,30.0,top
C5,306.8181,-164.1650550008067,30.0,top
C6,315.8181,-180.5650550008067,30.0,top
CUSTOM1,199.1831,-189.48505500080668,330.0,top
DELETE1,268.5181,-132.9650550008067,30.0,top
ENTER1,235.4181,-210.9650550008067,30.0,top
J1,135.75,-229.0,90.0,bottom
J2,135.45,-205.0,90.0,bottom
J3,297.9,-218.36,0.0,top
J4,212.0,-157.54,0.0,top
L1,146.3831,-166.3850550008067,330.0,top
L2,163.0831,-175.48505500080668,330.0,top
L3,177.6831,-188.7850550008067,330.0,top
L4,255.3181,-188.76505500080668,30.0,top
L5,270.0181,-175.36505500080668,30.0,top
L6,286.8181,-166.26505500080668,30.0,top
MODES1,164.5831,-133.2850550008067,330.0,top
N1,155.4831,-149.8850550008067,330.0,top
N2,172.3825,-158.4544550008067,330.0,top
N3,186.9831,-172.1850550008067,330.0,top
N4,246.1181,-172.0650550008067,30.0,top
N5,260.6175,-158.4650550008067,30.0,top
N6,277.7181,-149.86505500080668,30.0,top
PROG1,324.9181,-196.36505500080668,30.0,top
SPACE1,198.3428,-211.15445500080668,330.0,top
